season_id,event_id,fetch_ok,away_accurate_passes,away_aerial_duels,away_aerial_duels_total,away_ball_possession,away_big_chances,away_big_chances_missed,away_big_chances_scored,away_big_saves,away_blocked_shots,away_clearances,away_corner_kicks,away_crosses,away_crosses_total,away_dispossessed,away_dribbles,away_dribbles_total,away_duels,away_errors_lead_to_a_goal,away_errors_lead_to_a_shot,away_expected_goals,away_final_third_entries,away_final_third_phase,away_final_third_phase_total,away_fouled_in_final_third,away_fouls,away_free_kicks,away_goal_kicks,away_goalkeeper_saves,away_goals_prevented,away_ground_duels,away_ground_duels_total,away_high_claims,away_hit_woodwork,away_interceptions,away_long_balls,away_long_balls_total,away_offsides,away_passes,away_penalty_saves,away_recoveries,away_red_cards,away_shots_inside_box,away_shots_off_target,away_shots_on_target,away_shots_outside_box,away_tackles,away_tackles_won,away_tackles_won_total,away_through_balls,away_throw_ins,away_total_saves,away_total_shots,away_total_shots__totalshotsongoal,away_total_tackles,away_touches_in_penalty_area,away_yellow_cards,home_accurate_passes,home_aerial_duels,home_aerial_duels_total,home_ball_possession,home_big_chances,home_big_chances_missed,home_big_chances_scored,home_big_saves,home_blocked_shots,home_clearances,home_corner_kicks,home_crosses,home_crosses_total,home_dispossessed,home_dribbles,home_dribbles_total,home_duels,home_errors_lead_to_a_goal,home_errors_lead_to_a_shot,home_expected_goals,home_final_third_entries,home_final_third_phase,home_final_third_phase_total,home_fouled_in_final_third,home_fouls,home_free_kicks,home_goal_kicks,home_goalkeeper_saves,home_goals_prevented,home_ground_duels,home_ground_duels_total,home_high_claims,home_hit_woodwork,home_interceptions,home_long_balls,home_long_balls_total,home_offsides,home_passes,home_penalty_saves,home_recoveries,home_red_cards,home_shots_inside_box,home_shots_off_target,home_shots_on_target,home_shots_outside_box,home_tackles,home_tackles_won,home_tackles_won_total,home_through_balls,home_throw_ins,home_total_saves,home_total_shots,home_total_shots__totalshotsongoal,home_total_tackles,home_touches_in_penalty_area,home_yellow_cards
59708,12246936,1,152,18,46,30,,,,,0,26,2,2,8,5,6,10,27,,6,0.63,,17,40,,6,1,16,8,,21,97,2,0,14,21,49,1,221,,,0,4,3,1,0,0,,,1,25,8,4,4,0,7,2,475,27,45,70,,,,,7,7,16,22,62,5,35,43,52,,1,0.82,,92,110,,5,2,4,1,,47,97,0,0,13,29,49,1,554,,,0,10,4,7,8,2,,,1,27,1,18,18,2,33,1
59708,12246939,1,629,14,29,73,,,,,5,4,14,11,40,6,22,24,51,,0,3.11,,80,92,,6,1,3,1,,35,67,,1,13,19,32,1,707,,,0,13,7,6,6,0,,,0,23,1,19,19,0,39,1,175,12,28,27,,,,,0,15,0,3,5,2,5,8,32,,7,0.18,,13,24,,7,1,10,6,,16,59,,0,21,16,42,0,239,,,0,3,3,1,1,1,,,0,13,6,4,4,1,5,2
59708,12246940,1,161,6,19,29,,,,,1,30,0,5,9,5,10,18,32,,1,0.67,,20,34,,14,0,11,3,,44,135,,0,23,24,46,0,231,,,0,5,5,4,5,6,,,0,20,3,10,10,6,15,4,529,11,20,71,,,,,6,6,8,4,25,4,24,36,43,,1,2.06,,75,99,,7,4,9,1,,57,135,,0,17,16,36,3,623,,,0,10,8,5,9,4,,,2,29,1,19,19,4,14,0
59708,12246941,1,278,6,14,43,,,,,1,14,6,6,11,9,17,20,39,,6,2.12,,31,50,,11,7,5,5,,47,120,,0,15,19,37,1,341,,,0,8,6,4,3,5,,,0,24,5,11,11,5,13,0,460,6,14,57,,,,,12,20,6,5,16,7,16,19,37,,0,2.46,,46,63,,13,2,8,1,,45,122,,0,16,29,46,0,525,,,0,17,4,9,8,5,,,2,18,1,25,25,5,30,2
59708,12246942,1,449,7,20,57,,,,,7,11,10,9,26,6,13,20,37,,1,0.89,,40,55,,6,2,9,1,,38,100,0,1,14,25,40,4,513,,,0,4,3,2,9,1,,,0,21,1,13,13,1,14,0,292,12,21,43,,,,,3,33,2,9,16,7,11,19,29,,5,0.59,,45,56,,7,2,3,2,,22,95,2,0,13,29,45,0,342,,,0,5,3,2,3,4,,,0,18,2,8,8,4,11,2
59708,12246943,1,456,9,27,55,,,,,17,7,13,20,48,3,19,22,43,,0,5.82,,75,92,,9,2,2,0,,41,87,0,3,14,21,34,4,517,,,0,24,7,13,16,0,,,1,21,0,40,40,0,46,1,283,16,27,45,,,,,0,22,0,0,1,7,6,12,33,,9,0,,12,32,,5,0,7,6,,20,81,2,0,17,19,55,2,348,,,1,0,0,0,0,3,,,1,13,6,0,0,3,1,0
59708,12246944,1,252,6,17,41,,,,,1,30,8,6,17,6,13,19,34,,3,1.88,,40,58,,10,2,12,6,,29,84,0,1,12,23,44,0,317,,,0,12,11,5,6,2,,,2,15,6,18,18,2,20,1,475,12,23,59,,,,,4,21,4,8,21,3,13,19,35,,4,0.97,,52,62,,7,2,15,4,,29,91,1,0,11,20,39,2,548,,,0,8,5,7,8,2,,,4,21,4,16,16,2,25,1
59708,12246945,1,276,16,37,39,,,,,0,28,0,4,14,10,6,6,34,,9,1.01,,21,30,,9,0,23,2,,34,109,1,0,17,30,48,0,337,,,0,5,1,5,1,3,,,3,10,2,6,6,3,14,1,504,20,39,61,,,,,10,6,16,6,27,13,28,34,42,,0,1.63,,61,78,,9,4,2,2,,45,113,1,0,17,23,45,1,581,,,0,9,11,4,16,3,,,1,17,2,25,25,3,19,1
59708,12246947,1,271,9,19,38,,,,,2,16,3,1,11,5,13,17,34,,7,0.7,,19,40,,12,0,8,3,,37,115,,0,14,19,42,1,346,,,0,4,3,4,5,4,,,0,25,3,9,9,4,13,2,526,8,19,62,,,,,3,17,6,4,11,10,11,16,33,,2,2.52,,54,73,,9,2,6,4,,37,116,,0,23,27,45,1,590,,,0,9,5,8,7,1,,,2,14,4,16,16,1,19,0
59708,12246948,1,365,3,17,46,,,,,5,7,3,2,11,2,13,17,28,,0,0.43,,47,71,,11,1,12,4,,32,104,0,1,12,25,51,2,435,,,0,6,2,2,4,2,,,3,17,4,10,10,2,15,2,498,15,19,54,,,,,3,24,4,4,12,2,16,19,42,,3,2.41,,42,52,,6,3,5,2,,37,102,1,0,18,18,34,0,560,,,0,12,9,7,7,2,,,0,25,2,19,19,2,30,1
